sample ID,precursor mass,nit. Temp,nit. Time,NH3 flow rate,mass-based DoN
T30,0.5,1123,15,8,105.7593515
T31,1,1123,15,9,92.84301797
T32,1,1123,25,8,94.32021388
T33,1,1123,15,10,91.85645609
T34,0.5,1173,25,2,91.06547571
T35,0.5,1123,100,2,109.7165868
T36,1,1123,15,12,95.91911417
T37,1,1123,25,7,93.53760336
T39,1,1123,15,10,90.45162093
T40,1,1123,15,12,91.33215624
T41,1,1123,15,8,92.30904746
T42,1,1123,15,14,92.77035121
T43,1,1123,15,20,98.11890643
T44,1,1123,15,12,92.06924871
T45,1,1123,15,2,31.91164706
T46,1,1123,15,4,77.44660502
T47,1,1123,15,5,90.75041007
T48,1,1123,15,6,92.7517767
T49,0.5,1123,50,2,94.60199904
T50,1,1123,15,9,93.83041969
T51,1,1123,15,8,94.59254357
T52,1,1123,15,8,90.97175253
T53,1,1123,15,8,93.73660803
T55,0.5,1123,15,1,39.32023932
T56,1,1123,15,3,60.08605618
T57,1,1123,15,18,100.0478105
T58,1,1123,25,1,25.90744159
T59,1,1123,25,20,113.5486838
T60,1,1123,10,4,49.77714082
T61,1,1123,25,1.5,46.22355903
T62,1,1123,15,1,13.05397853
T63,1,1123,25,1.75,58.57366763
T64,0.5,1123,15,1.5,67.5954676
T65,0.5,1173,3,2,29.99448681
T66,0.5,1173,7,2,62.44357716
T67,1,1123,2.5,4,11.26703684
T68,1,1123,25,3,91.77444271
T69,0.5,1173,9,2,79.73117348
T70,1,1123,25,15,104.3170107
T71,1,1123,10,6,74.03115688
T72,1,1123,25,0.5,5.531346836
T73,1,1123,2.5,6,16.57911035
T74,1,1123,15,8,93.05477008
T77,1,1123,10,8,92.44711805
T79,1,1123,2.5,8,23.44821813
T80,1,1123,50,4,94.25415009
T81,1,1123,15,8,91.58077645
T83,1,1123,5,8,48.18513035
T84,1,1173,15,8,94.88942779
T86,1,1073,15,8,85.36128888
T88,1,1023,15,8,41.13675588
T89,1,973,15,8,11.28056135
P90,1,923,15,8,4.644937025
T91,1,1123,15,8,94.67771092
T93,1,1123,25,6,93.75535536
T95,1.5,1123,15,8,89.64569023
T96,1,973,50,8,60.40835191
T97,2,1123,15,8,77.94909265
T98,3,1123,15,8,53.5255848
T99,1,1123,15,2,34.02203282
T100,1,1123,25,2,61.92629917
T101,1,1123,15,8,91.74691588
T102,1,1173,10,8,93.09199199
T103,1,1123,20,7,92.61270467
T104,1,1123,20,6,93.11992797
T105,1,1123,20,8,95.08208208
T106,1,1123,25,5,92.60344803
T107,1,1223,15,8,97.08188036
T108,2,1123,10,8,48.21404721
T109,1.5,1123,10,8,65.62989322
T110,1,1173,10,8,92.23517806
T111,1,1173,5,8,63.47445665
T112,1,1173,7.5,8,91.80198606
T113,1,1173,2.5,8,31.6171586
T114,1,1123,7.5,8,72.08548549
T115,1,1073,10,8,56.79972826
T116,1,1073,6,8,32.95034208
T117,1.5,1123,5,8,34.03903704
T118,2,1123,5,8,24.87488238
T119,1,1123,20,10,97.26411406
T120,1,1123,5,6,32.50805561
T121,1,1123,5,10,60.6053688
T122,1,1123,10,10,93.06407277
T123,1,1123,5,12,67.24099312
T124,1,1123,25,10,96.60094965
T125,1,1123,50,8,102.8830512
T126,1,1123,15,6,93.11992797
T127,1,1173,15,8,95.82210313
T128,2,1123,25,8,93.76942077
T129,2,1123,50,8,95.66358396
T130,2,1123,20,8,88.09474308
T131,2,1123,15,16,92.55770073
T132,1,1123,15,10,93.16652521
T133,2,1123,15,14,92.45636554
T134,2,1123,15,18,91.68220937
T135,2,1123,15,12,93.44236215
T136,1,1123,15,8,91.81117085
T137,1,1123,5,2,8.177392785
T138,1,1123,10,2,14.81807873
T139,2,1123,15,16,93.7928725
T140,4,1123,15,32,92.03936568
T141,1,1123,15,6,91.94960654
T142,1,1023,10,8,22.98740164
T143,1,1073,10,8,52.42143214
T144,2,1123,15,6,53.94815874
T145,1,1123,50,10,110.8038425
T146,1,973,30,8,26.10012233
T147,1,973,10,8,5.525817701
T148,1,1023,10,8,21.23824675
T149,2,1123,5,16,45.65466331
T150,2,1123,15,16,93.96707977
T151,1,1223,5,8,94.64930477
T152,2,1123,15,15,94.4423293
T154,1,1223,10,8,95.94737709
T156,1,973,10,16,11.27830501
T157,1,1223,1,8,16.14022782
T158,1,1223,3,8,52.64261961
T159,1,973,100,8,96.67826906
T160,1,1223,4,8,72.52772773
T161,1,1223,7,8,88.70505159
T162,4,1123,15,32,89.9962963
T163,4,1123,15,40,91.60171447
T164,4,1123,15,36,94.57510205
T165,1,1123,15,8,88.90847239
T166,1,1123,15,8,90.86260826
T167,2.5,1123,10,8,39.19206876
T168,2.5,1123,5,8,17.15221242
T169,0.5,1123,5,8,84.52094459
T170,2.5,1123,15,8,62.242667
T171,1,1073,5,8,25.03191219
