sample ID,precursor mass,nit temp,nit time,NH3 flow rate,mass-based DoN
T7,0.5,1123,10,2,66.20393
T15,1,1123,25,2,83.64706
T22,0.5,1123,0,2,6.62966
T23,0.5,1123,5,2,35.55002
T28,0.5,1173,5,2,55.7783
T45,1,1123,15,2,31.91165
T46,1,1123,15,4,77.44661
T55,0.5,1123,15,1,39.32024
T56,1,1123,15,3,60.08606
T58,1,1123,25,1,25.90744
T60,1,1123,10,4,49.77714
T61,1,1123,25,1.5,46.22356
T62,1,1123,15,1,13.05398
T63,1,1123,25,1.75,58.57367
T64,0.5,1123,15,1.5,67.59547
T65,0.5,1173,3,2,29.99449
T66,0.5,1173,7,2,62.44358
T67,1,1123,2.5,4,11.26704
T69,0.5,1173,9,2,79.73117
T71,1,1123,10,6,74.03116
T72,1,1123,25,0.5,5.53135
T73,1,1123,2.5,6,16.57911
T79,1,1123,2.5,8,23.44822
T83,1,1123,5,8,48.18513
T86,1,1073,15,8,85.36129
T88,1,1023,15,8,41.13676
T89,1,973,15,8,11.28056
P90,1,923,15,8,4.64494
T95,1.5,1123,15,8,89.64569
T96,1,973,50,8,60.40835
T97,2,1123,15,8,77.94909
T98,3,1123,15,8,53.52558
T99,1,1123,15,2,34.02203
T100,1,1123,25,2,61.9263
T108,2,1123,10,8,48.21405
T109,1.5,1123,10,8,65.62989
T111,1,1173,5,8,63.47446
T113,1,1173,2.5,8,31.61716
T114,1,1123,7.5,8,72.08549
T115,1,1073,10,8,56.79973
T116,1,1073,6,8,32.95034
T117,1.5,1123,5,8,34.03904
T118,2,1123,5,8,24.87488
T120,1,1123,5,6,32.50806
T121,1,1123,5,10,60.60537
T123,1,1123,5,12,67.24099
T130,2,1123,20,8,88.09474
T137,1,1123,5,2,8.17739
T138,1,1123,10,2,14.81808
T142,1,1023,10,8,22.9874
T143,1,1073,10,8,52.42143
T144,2,1123,15,6,53.94816
T146,1,973,30,8,26.10012
T147,1,973,10,8,5.52582
T148,1,1023,10,8,21.23825
T149,2,1123,5,16,45.65466
T156,1,973,10,16,11.27831
T157,1,1223,1,8,16.14023
T158,1,1223,3,8,52.64262
T160,1,1223,4,8,72.52773
T167,2.5,1123,10,8,39.19206876
T168,2.5,1123,5,8,17.15221242
T169,0.5,1123,5,8,84.52094459
T170,2.5,1123,15,8,62.242667
T171,1,1073,5,8,25.03191219
